OID_,Shape_Length,Shape_Area,Majority_use,Minority_use,N,BD,PR,BH,BF,BA,BFA,RS,BO,BP,BV,std_BH,std_BF,std_BA,std_BFA,std_RS,std_BO,std_BP,std_BV,SP,SP_Classification,Kmeans_Cluster
11,367.5110102,8178.06065,RESIDENTIAL ONLY,RESIDENTIAL ONLY,15,0.200576239,0.608420462,8.493415273,3.033362598,4975.699438,1640.324649,39.70901388,-14.05765866,19.02159991,1.191272492,0.603224311,0.215437254,42.50176392,13.40794752,2.716104252,48.59768871,4.921215803,14.62003363,654.2261547,1,1
12,430.1967161,12240.91255,RESIDENTIAL ONLY,RESIDENTIAL ONLY,33,0.195145653,0.539338711,7.738570483,2.763775172,6601.998,2388.760877,33.08063617,-8.934868957,17.49010518,1.333249523,0.549934726,0.196405259,50.15911573,15.85457485,3.036108955,54.50515296,4.156526108,14.38813696,704.5153726,1,1
13,405.5633619,9997.5959,RESIDENTIAL ONLY,RESIDENTIAL ONLY,32,0.161122787,0.389595392,6.7511065,2.418003067,3895.017295,1610.840519,29.32446728,-54.39289469,18.87988616,1.418532158,1.113759589,0.369120284,47.42579812,17.11854816,3.610132231,44.51406515,5.416308661,18.554734,715.1744714,2,2
14,293.2152214,5417.88,RESIDENTIAL ONLY,RESIDENTIAL ONLY,18,0.19062716,0.586010851,8.607537372,3.07412049,3174.936468,1032.795075,34.9175454,37.3946948,17.51931445,1.69880513,0.973839765,0.347799916,27.05045753,7.404436546,4.664798872,0.254471631,1.1096301,10.23191873,689.2067719,1,1
15,545.5848105,17801.32085,RESIDENTIAL ONLY,RESIDENTIAL ONLY,21,0.187244592,0.747718319,11.17984309,3.99327055,13310.37371,3333.201065,35.2032884,-29.04205808,20.70274432,1.387812031,1.286826634,0.456282341,101.8751835,18.18240722,2.172698565,44.99673756,6.794700717,39.92025637,695.0568473,1,1
16,283.3710117,4886.70345,UNCLASSIFIED,RESIDENTIAL ONLY,11,0.137171952,0.292529807,5.213648611,2.132577431,1429.506415,670.3186525,41.30427753,-29.12430778,16.80643108,1.116662153,3.564176362,0.892820567,56.17195334,4.074426761,1.490182463,47.07247871,0.706800306,28.618462,687.9954152,1,1
17,266.0651462,4383.7775,UNCLASSIFIED,RESIDENTIAL ONLY,17,0.208009644,0.208009646,0.446277238,1,911.8680049,911.8679975,40.55399074,-20.04135277,17.3416964,0.565556836,0.246731999,0,14.35356376,14.35356347,1.520149853,46.14431593,3.274759974,3.274760066,690.8180946,1,1
18,362.4639658,8004.75435,RESIDENTIAL ONLY,RESIDENTIAL ONLY,18,0.183049645,0.519874989,7.952214207,2.840076503,4161.471578,1465.26744,36.59772545,2.602056444,17.06481227,1.15610878,0.415782967,0.148493917,85.62967846,29.82131007,2.324255125,39.34770728,6.562195035,19.82686168,663.0353804,1,1
19,395.5679623,8911.1518,RESIDENTIAL ONLY,RESIDENTIAL ONLY,32,0.193421683,0.54514988,7.89166777,2.818452775,4857.913335,1723.609979,37.05711966,3.862166319,17.73887562,1.603472702,0.711533083,0.254118958,33.55990206,11.24138664,2.503543607,44.12213855,3.264118776,12.66137495,692.166638,1,1
20,427.477292,8189.10055,RESIDENTIAL ONLY,UNCLASSIFIED,25,0.18687263,0.255457528,2.004872195,1.36701414,2091.967382,1530.318756,41.30088804,-38.20801784,16.52993641,0.737450427,2.979648069,0.714370219,33.06194447,10.18002084,1.689729749,43.90431534,2.476451717,19.65434113,696.1127772,1,1
21,379.7308076,7176.3868,RESIDENTIAL ONLY,RESIDENTIAL ONLY,22,0.201483487,0.564720997,7.847882785,2.802815281,4052.656309,1445.923435,40.66356484,-5.445476579,16.86147249,1.415040076,0.265460171,0.094807204,33.08936309,10.71584886,0.891475643,41.20699097,2.254945973,8.26649383,692.2142972,1,1
22,442.7098305,9695.07595,RESIDENTIAL ONLY,RESIDENTIAL ONLY,31,0.207171758,0.570842764,7.715142996,2.755408213,5534.363957,2008.545932,38.21975541,-31.29629332,17.1774117,1.409464956,0.337142147,0.12040791,62.15346403,21.82885145,3.027042601,43.88849035,4.324965039,13.38578731,690.9070935,1,1
23,478.9611666,12153.42305,RESIDENTIAL ONLY,RESIDENTIAL ONLY,12,0.170307875,0.76795157,12.62574852,4.5091959,9333.240311,2069.82365,35.26339192,-33.34541729,23.49519871,1.644275898,0.883227402,0.315438358,81.75256368,21.12818453,0.964300735,37.56916718,10.66806084,40.94408441,679.3719241,1,1
24,306.0328463,5734.1193,RESIDENTIAL ONLY,RESIDENTIAL ONLY,12,0.180919693,0.515887804,7.984127298,2.851474035,2958.162215,1037.415106,36.8527308,22.67897076,17.77346482,1.284771685,0.989661297,0.353450463,141.8865402,72.81134447,0.919340489,36.43057701,13.39613364,22.66691688,684.3659605,1,1
25,270.7913572,4414.99805,RESIDENTIAL ONLY,RESIDENTIAL ONLY,13,0.152016795,0.430573751,7.930745457,2.832409092,1900.98227,671.1538525,40.8894727,-11.28463814,17.35276065,1.628207344,0.404383026,0.144422509,31.45426557,9.241762402,1.958281714,43.449745,2.519559948,10.48571545,679.3685813,1,1
26,431.6464855,11340.48575,RESIDENTIAL ONLY,RESIDENTIAL ONLY,18,0.191245691,0.728993877,10.673092,3.811818572,8267.144675,2168.819035,33.82442451,-21.74348817,18.87825841,1.405305308,1.85868312,0.6638154,202.4932943,39.98874926,3.197082819,44.06347658,10.2583181,62.48402907,704.7677514,1,1
27,439.4209134,9773.73905,RESIDENTIAL ONLY,RESIDENTIAL ONLY,57,0.2248185,0.514904432,6.396103954,2.290311655,5032.541554,2197.317353,33.38778511,19.38003671,18.02744679,1.392261805,1.565284889,0.542884963,57.3539374,19.33441574,3.608302893,40.0053358,6.721180742,25.91114101,715.5393842,2,1
28,967.6491221,24541.87475,RESIDENTIAL ONLY,RECREATION AND LEISURE,69,0.182043963,0.50236625,7.726845054,2.759587519,12329.00959,4467.700144,39.02360232,-21.2160788,16.99614434,1.401614171,0.419777485,0.14992053,42.85636103,14.41786067,2.649933054,40.92239275,3.695739799,11.60532249,689.5960422,1,1
29,351.1898848,6740.26915,RESIDENTIAL ONLY,RESIDENTIAL ONLY,19,0.197551564,0.541909319,7.68075976,2.743128486,3652.614665,1331.550714,40.35309899,-16.55573831,16.80921925,1.332108682,0.421856342,0.150662979,48.06155043,14.68689012,0.869045969,45.01190104,2.942042263,11.62930836,697.3037628,1,1
30,371.8244724,6989.73665,RESIDENTIAL ONLY,RESIDENTIAL ONLY,17,0.208510151,0.571260982,7.671236846,2.739727445,3992.96382,1457.431042,37.29884838,17.87689074,18.40711785,1.259531255,0.481320379,0.171900135,49.11253333,17.82572378,1.385715569,42.99697028,5.363784049,14.48398829,674.5254204,1,1
31,399.9188726,9588.0939,RESIDENTIAL ONLY,UNCLASSIFIED,13,0.113733014,0.385428331,8.768826543,3.388887015,3695.523031,1090.482816,35.54174708,1.812467324,18.07643719,1.275657028,6.893903919,2.141998047,442.1318511,63.87932374,1.175581428,69.20359776,13.83563526,135.0790908,697.1883775,1,1
32,677.7893457,20346.75425,UNCLASSIFIED,RESIDENTIAL ONLY,10,0.026979832,0.027793615,1.364992491,1.030162652,565.5098516,548.952003,37.24206916,-11.37195274,16.75544151,0.568434265,0.86954316,0.092544973,7.048079504,3.107414286,1.822434983,8.774872667,0.682020291,3.129912096,672.0069215,1,1
33,724.9656847,24940.01715,RESIDENTIAL ONLY,RESIDENTIAL ONLY,114,0.194467586,0.476743029,6.852412257,2.451529518,11889.97932,4850.024925,34.21123816,-7.572815923,18.25955703,1.394272059,1.311002111,0.45373364,75.62514623,33.72645738,5.940987973,54.68692099,9.59757395,25.89240148,682.5588392,1,1
34,910.745592,33175.2916,RESIDENTIAL ONLY,RESIDENTIAL ONLY,55,0.211590264,0.914754678,12.10506123,4.323236155,30347.25319,7019.568695,31.98953931,54.72393253,19.20917421,1.546916721,2.995861744,1.069950623,282.1179626,48.10491641,4.340069463,44.32830493,11.42015997,85.7644838,693.7148701,1,1
35,528.6418625,10034.57,RESIDENTIAL ONLY,RESIDENTIAL ONLY,35,0.134104071,0.348429991,7.264649735,2.598205926,3496.345133,1345.676688,34.84328082,-24.04901746,17.67246184,1.564296487,1.01769251,0.344218181,58.93775054,22.47250701,5.275950221,44.95747779,7.060922801,20.49789522,707.5280511,2,1
36,810.886208,40808.87875,RESIDENTIAL ONLY,RESIDENTIAL ONLY,116,0.192054195,0.57257475,8.344524187,2.981318633,23366.13357,7837.516376,31.30907694,28.4492891,19.37367822,1.425447309,2.378874499,0.84676466,314.1560984,63.69984649,3.486806488,45.93376059,15.0806281,88.16322715,687.6237573,1,2
37,775.3712756,26182.52495,RESIDENTIAL ONLY,RESIDENTIAL ONLY,84,0.158280355,0.386554208,6.826875622,2.442212158,10120.9652,4144.179344,34.94610428,9.760149457,18.76810724,1.323775462,1.213547811,0.416502613,67.61791001,24.96961725,4.907324975,51.89010141,8.380294087,24.83857542,677.4731654,1,1
38,408.668054,10835.98,RESIDENTIAL ONLY,RESIDENTIAL ONLY,31,0.169860199,0.435993841,7.172429272,2.566780474,4724.420539,1840.601718,35.03152612,-3.035089185,18.04340576,1.287740828,0.847245844,0.267739714,55.4391604,21.1016763,4.93843563,51.6551732,6.267184863,18.83721167,671.1701221,1,1
39,185.3495068,1990.9959,RESIDENTIAL ONLY,RESIDENTIAL ONLY,2,0.095947444,0.153695541,4.485242149,1.601872196,306.0071914,191.0309675,26.08344697,-65.81447679,18.91432521,0.563970829,0.142216045,0.050791445,59.94925904,37.17448003,2.568364852,1.873288047,10.24508855,16.92267599,569.5137429,0,2
40,314.7612205,6374.5458,RESIDENTIAL ONLY,RESIDENTIAL ONLY,12,0.182783618,0.563934893,8.63872657,3.085259489,3594.828803,1165.162548,37.7113846,-3.688123593,17.68050371,1.299096417,0.413558541,0.147699479,76.62168616,21.9098719,3.546303186,46.46113989,7.490042216,26.54090832,682.1022028,1,1
41,453.1082004,10405.095,RESIDENTIAL ONLY,RESIDENTIAL ONLY,34,0.163690525,0.448709248,7.675373399,2.741204785,4668.862349,1703.215462,36.87433717,21.66166315,16.47898851,1.547322263,0.802512052,0.286611447,22.14370333,5.710341776,3.317400718,33.54340693,2.297489721,11.01492395,661.6729013,1,1
42,580.631376,14086.3437,RESIDENTIAL ONLY,RESIDENTIAL ONLY,36,0.173841582,0.498302141,8.024376545,2.866415128,7019.255229,2448.792274,38.86254081,3.143781965,17.71082076,1.333828748,0.87560524,0.308984715,64.19602101,19.52481914,4.155586242,46.34249144,5.928771,21.89454339,666.1473069,1,1
43,415.3287288,9325.6694,RESIDENTIAL ONLY,RESIDENTIAL ONLY,39,0.193903041,0.491392186,7.092717382,2.534215979,4582.561077,1808.275656,38.217472,11.1286318,17.92794246,1.336566692,1.738155891,0.61789444,95.92628666,31.07612122,5.052397192,45.50447877,9.656361442,36.02657242,676.9040745,1,1
44,675.7170009,30875.19,RESIDENTIAL ONLY,RESIDENTIAL ONLY,143,0.189557988,0.452475221,6.672651366,2.387001607,13970.25843,5852.638891,33.49750896,-10.00667365,17.91908399,1.376846407,1.434443638,0.50016201,63.52535586,25.61680318,5.988160542,45.95907584,8.414996336,24.68375562,686.6476442,1,1
45,689.6971431,17842.104,RESIDENTIAL ONLY,RESIDENTIAL ONLY,52,0.173073951,0.477008075,7.706927831,2.756094,8510.827689,3088.003432,39.14011117,-12.31731037,17.17514634,1.364931059,1.343591906,0.465350473,64.96991998,19.23452555,4.624134217,42.4433205,6.169445715,25.66652939,664.8990356,1,1
46,534.5416729,15354.74155,RESIDENTIAL ONLY,RESIDENTIAL ONLY,47,0.159842516,0.448322511,7.850449061,2.804776348,6883.876283,2454.34052,32.69060669,11.67945261,20.37330419,1.59867157,0.884266712,0.308912771,123.0937853,39.65099717,4.949928533,49.5687881,13.30213971,43.4779677,705.4508018,1,1
47,512.5082123,15628.455,RESIDENTIAL ONLY,RESIDENTIAL ONLY,29,0.172342077,0.752080937,12.21887693,4.363884618,11753.86308,2693.44039,35.50303765,5.838088346,19.6321552,1.812567923,2.607679087,0.93131396,333.9464224,57.05275354,3.836301648,47.69302914,12.57073013,90.88658492,659.4604284,1,1
48,1093.882371,65386.337,RESIDENTIAL WITH RETAIL ON GROUND FLOOR,RETAIL ONLY,91,0.325643699,1.071218086,9.210275004,3.289540347,70043.02676,21292.64862,19.3800721,5.046544949,55.58968359,0.811868453,2.511809966,0.896659681,6748.802425,1550.75482,7.548616561,51.8037504,163.2922648,715.5702279,696.1139577,1,0
49,708.3807713,27128.51195,RESIDENTIAL ONLY,RESIDENTIAL ONLY,28,0.164835058,0.820273069,13.93371413,4.976326476,22252.78776,4471.72985,36.11348857,-25.14213647,18.82018433,1.683426034,0.934570078,0.333775028,70.02606742,11.56397406,2.303204447,36.38855184,4.542928338,26.4762853,672.0933246,1,1
50,197.2375496,2443.535,RESIDENTIAL ONLY,RESIDENTIAL ONLY,8,0.184175242,0.493920144,7.509024536,2.681794477,1206.911159,450.03865,27.8978871,73.14536767,19.80386964,1.583171319,0.685664457,0.244880163,31.91767397,7.56402984,2.379493678,0.312604055,1.194875612,10.62724228,710.1067394,2,2
51,577.9265093,14616.74335,RESIDENTIAL ONLY,RESIDENTIAL ONLY,48,0.18304286,0.464572416,7.100515222,2.538052656,6790.535773,2675.490502,36.09949795,-8.937489479,17.68354039,1.263416839,1.437111781,0.505691242,71.51704662,22.7874287,2.99149846,42.91030208,7.108712776,27.93219629,680.6327635,1,1
52,808.1084521,22521.018,RESIDENTIAL ONLY,RESIDENTIAL ONLY,101,0.203644661,0.497177956,6.82756353,2.441399405,11196.9537,4586.285086,35.31453916,12.44179289,17.98796896,1.276206547,1.74504132,0.615719621,100.1289188,32.23064463,4.376197943,50.81267104,9.56654786,36.344136,695.5735452,1,1
53,530.7827463,13234.5857,RESIDENTIAL ONLY,RESIDENTIAL ONLY,26,0.167169575,0.470126999,7.874373033,2.812276083,6221.936056,2212.420073,37.85831319,10.60989579,17.58949401,1.270349663,0.49019503,0.175069654,33.37923019,9.815558351,2.344161533,45.87935952,3.947762761,11.918979,662.9751988,1,1
54,671.018452,23436.55135,RESIDENTIAL ONLY,RESIDENTIAL ONLY,23,0.178483597,0.924204621,14.49865969,5.178092748,21660.16907,4183.039987,37.76506816,29.1632548,19.78156766,1.698168533,0.464222421,0.165793722,152.0439607,27.78979991,2.173577606,45.93879212,5.745301782,34.50576569,679.3764728,1,1
55,357.9169097,8372.03805,RESIDENTIAL ONLY,RESIDENTIAL ONLY,26,0.162945185,0.410117966,7.04734116,2.516907557,3433.523218,1364.183287,35.1013767,9.781274037,18.32129054,1.295056895,1.470322793,0.525115283,89.77658729,28.19433949,2.943605664,44.13373211,8.736170315,33.43830436,694.1833586,1,1
56,931.1036588,30779.20255,RESIDENTIAL ONLY,RESIDENTIAL ONLY,63,0.168992612,0.561065728,9.296169908,3.320060681,17269.15567,5201.457843,29.97053165,15.47183262,19.04409966,1.406092351,2.456089769,0.877174918,350.572171,72.88516563,3.263539732,52.01702941,14.72512217,86.11377802,693.4151159,1,2
57,681.7060605,27222.05615,RESIDENTIAL ONLY,RETAIL ONLY,31,0.158801792,0.649550669,11.45290529,4.090323319,17682.10478,4322.911286,31.8603314,2.606459155,18.64442355,1.397886351,2.796599808,0.998785646,235.564712,58.18274227,5.4674449,46.46735673,10.91330188,66.16373219,693.8926414,1,1
58,815.3007051,28103.629,RESIDENTIAL ONLY,RESIDENTIAL ONLY,32,0.187757372,0.802173019,11.96269647,4.272391597,22543.97292,5276.663532,35.07299613,-6.603549797,19.11351331,1.453088368,1.052751166,0.375982559,58.85954436,3.431561409,1.787924627,59.96327013,3.932830183,29.45264445,683.3083023,1,1
59,168.1342644,2055.955,RESIDENTIAL ONLY,RESIDENTIAL ONLY,6,0.126315022,0.35551877,7.880713982,2.814540708,730.9305937,259.6980015,37.76054237,74.04176085,18.6943695,1.847378146,0.455922523,0.162829472,6.944058511,1.22806311,2.304185453,0.160734875,1.410292411,5.20549509,676.9882268,1,1
60,262.3162354,4506.1504,RESIDENTIAL ONLY,RESIDENTIAL ONLY,21,0.183700915,0.511158642,7.791165322,2.782559043,2303.357721,827.78395,35.87024131,10.04657214,17.04215439,1.80614667,0.737742239,0.263479371,20.7050477,5.680751571,3.368532475,47.93422425,1.880730397,9.71093463,679.2963924,1,1
61,733.7232582,23323.38275,RESIDENTIAL ONLY,RESIDENTIAL ONLY,41,0.173848453,0.745620555,12.00895105,4.288911091,17390.39359,4054.734,32.31569603,-45.2812904,19.08216973,1.680201107,3.58891217,1.281754346,392.1272371,58.09801015,7.253949,43.98098908,11.5208052,106.2783018,697.8582075,1,1
62,491.3090264,14319.88265,RESIDENTIAL ONLY,RESIDENTIAL ONLY,21,0.203869745,0.869308856,11.9393135,4.264040536,12448.4008,2919.39083,34.50059974,-20.73099019,18.33721631,1.447351746,0.677826497,0.242080892,141.1176459,27.82674438,2.598648398,39.82440845,5.56242892,32.52954558,697.9431782,1,1
63,423.8873701,11129.62315,RESIDENTIAL ONLY,RESIDENTIAL ONLY,46,0.215493783,0.636943519,8.276070993,2.95573964,7088.941329,2398.364598,31.9316564,13.32193345,17.22516417,1.677638981,0.760121065,0.271471809,52.06441037,15.38419271,1.914867478,43.81179324,4.890139457,18.45142103,689.0438839,1,1
64,855.6096975,28091.045,RESIDENTIAL ONLY,RESIDENTIAL ONLY,72,0.198845174,0.747664134,10.52753149,3.760031588,21002.66684,5585.768724,35.4994468,29.93574363,19.30439009,1.602251222,1.951474696,0.696110691,290.834383,59.8725607,3.320707776,49.21341727,13.06472188,75.70930146,674.8603324,1,1
65,637.798064,21360.6306,RESIDENTIAL ONLY,RECREATION AND LEISURE,33,0.164619641,0.68037833,11.57249101,4.133032504,14533.31018,3516.379336,30.16944114,9.748540231,19.08635487,1.593084714,2.946553489,1.052340532,400.2141322,78.52224728,4.241267142,44.38905039,15.97734108,101.3709355,668.5613985,1,2
66,847.7088722,26014.015,RESIDENTIAL ONLY,RESIDENTIAL ONLY,99,0.191799335,0.59935964,8.726144293,3.124930742,15591.75066,4989.470769,36.05182268,-74.28482517,18.04695666,1.799377182,2.032297227,0.698823242,58.42134001,18.55812704,4.381964232,37.39472513,6.451860437,24.16667631,677.8089559,1,1
67,492.6518354,13043.65,RESIDENTIAL ONLY,OFFICE ONLY,32,0.194513087,0.642976035,9.237474285,3.305566972,8386.754358,2537.160628,32.87406153,-60.51191975,18.77994234,1.453092438,2.258715577,0.786178691,251.7511159,74.22221006,4.289784732,39.78420607,16.7410351,62.84358842,657.1459167,1,1
68,331.0618954,6021.85745,RESIDENTIAL ONLY,RESIDENTIAL ONLY,19,0.157692525,0.448257349,7.959290151,2.842603625,2699.341859,949.6019035,36.21002062,5.637976846,17.38257241,1.666569774,0.356171798,0.127204213,41.00436505,14.4670165,1.460732204,30.20827789,3.642725815,10.39944446,696.3604135,1,1
69,739.4137066,22218.33,RESIDENTIAL ONLY,RESIDENTIAL ONLY,92,0.165098743,0.458613223,7.724625613,2.777811732,10189.61993,3668.218347,37.61062666,26.658257,18.00548505,1.701726964,2.150993798,0.717357985,58.11070243,16.3160498,5.362390703,57.93207577,6.383552116,28.36391548,648.3677639,1,1
70,576.7558214,20931.2825,RESIDENTIAL ONLY,RESIDENTIAL ONLY,45,0.195379514,0.852513966,12.21409132,4.363374392,17844.21065,4089.543802,32.7688281,-5.795872437,20.02519423,1.678283745,3.322329007,1.183015012,332.5253334,53.76586432,3.623652939,51.51046917,13.9178583,97.28197411,682.2046945,1,1
71,306.5062756,6128.0537,RESIDENTIAL ONLY,RESIDENTIAL ONLY,25,0.179789322,0.491522574,7.628020411,2.733880785,3012.076727,1101.758623,34.35420752,-3.531114037,18.70467756,1.598956867,2.074568743,0.715987282,85.44721463,24.60624045,8.092442439,57.37150067,8.990124049,37.34727394,654.2053533,1,1
72,143.2749419,1264.182,RESIDENTIAL ONLY,RESIDENTIAL ONLY,5,0.152307975,0.476386845,8.741825937,3.127786686,602.2396744,192.545,37.19692245,-65.90525704,16.69069755,1.953634059,2.028181301,0.702753144,41.58073085,9.419760201,4.015776528,0.269466928,3.585052414,22.85114211,654.1589918,1,1
73,327.1501789,6171,RESIDENTIAL ONLY,RESIDENTIAL ONLY,28,0.215699553,0.845932871,10.98107063,3.92181094,5220.251747,1331.08194,40.23357498,45.92625295,18.32081853,2.433942038,0.318501468,0.113750524,9.727868656,2.141215208,1.576894509,41.42421243,0.711206509,4.12568665,669.2361549,1,1
74,608.3157232,16502.9975,RESIDENTIAL ONLY,RESIDENTIAL ONLY,57,0.203890928,0.575666202,7.858629154,2.823402735,9500.217896,3364.811467,31.94154587,-78.01909108,16.46124044,1.338575777,1.669142479,0.536734796,58.44779739,16.65673501,2.792671818,28.52411121,5.247318476,24.49174243,703.5992902,1,1
75,649.20358,18092.3375,RESIDENTIAL ONLY,RESIDENTIAL ONLY,54,0.196816395,0.599251453,8.48473589,3.044723264,10841.85954,3560.86864,32.3052793,-79.38259277,16.37489229,1.425172283,1.580987404,0.503074809,51.47225907,13.04144326,2.533653236,27.58475481,4.080299634,21.70310092,700.6518486,1,1
76,557.4105473,13912.30245,RESIDENTIAL ONLY,RESIDENTIAL ONLY,42,0.20246881,0.552649777,7.642754292,2.729555104,7688.630846,2816.80732,37.47080218,19.59270325,16.97712818,1.363305384,0.527192218,0.188282935,47.09571564,15.22993351,2.025840768,68.50953261,3.47848197,12.55879673,674.9930013,1,1
77,537.7095458,17615.0921,RESIDENTIAL ONLY,RECREATION AND LEISURE,45,0.131620991,0.381056494,8.098484267,2.895104271,6712.345237,2318.515883,38.44973243,0.213945304,18.24400356,1.67230588,0.842613087,0.280245437,86.81987721,25.79633437,3.989314462,46.10875693,6.5033448,24.59461408,651.7220632,1,1
78,433.046487,9924.53,RESIDENTIAL ONLY,RESIDENTIAL ONLY,17,0.244047883,0.77773444,8.92307032,3.186810829,7718.648779,2422.060541,33.03871374,1.470307468,17.73015627,1.121759551,0.342786776,0.122423849,51.97122721,16.49141394,0.906727628,35.00501521,3.685244979,12.36253366,707.7411451,2,1
79,920.2823524,24612.67515,RESIDENTIAL ONLY,RESIDENTIAL ONLY,129,0.208824091,0.599127301,7.961462974,2.869052609,14746.12563,5139.719508,35.63875622,-27.17664411,17.36356776,1.70786102,2.39563349,0.79129654,68.83094031,19.17328413,6.132878186,63.89879487,6.361956049,31.19017147,665.0893067,1,1
80,401.7519171,10061.3221,RESIDENTIAL ONLY,RESIDENTIAL ONLY,16,0.220093678,0.97878561,12.45196916,4.447131842,9847.877289,2214.43339,34.56622916,27.72368182,18.4311439,1.527804275,0.926284572,0.330815918,163.4775477,29.99135078,3.13967262,46.32787074,5.656115055,37.01967019,665.262786,1,1
81,434.5865365,10410,RESIDENTIAL ONLY,RESIDENTIAL ONLY,15,0.217326862,0.752181504,9.690970493,3.46106089,7830.209455,2262.372636,34.66190642,7.713412364,18.0242036,1.193880614,0.595332021,0.212618579,69.02670277,16.24999755,0.845222764,40.92406272,3.423812026,17.04493961,706.3481924,1,1
82,456.1421223,10923.965,RESIDENTIAL ONLY,RESIDENTIAL ONLY,37,0.213946749,0.628170416,8.186137258,2.936106375,6862.111642,2337.146802,32.40571602,-67.7981953,16.32929643,1.371324485,1.524251238,0.49294323,54.51848678,15.06301182,3.321482856,38.29611932,4.655609225,22.4142994,699.2316443,1,1
83,266.1150677,3206.6225,RESIDENTIAL ONLY,RESIDENTIAL ONLY,10,0.137707678,0.361311632,7.332898568,2.623758029,1158.59001,441.5765395,33.1497811,18.68318305,17.77692381,1.551366547,1.44104506,0.496558876,54.25100054,19.31197117,4.0814803,30.40856243,8.066030777,25.05280083,673.1552323,1,1
84,406.4013115,8640.78325,RESIDENTIAL ONLY,RESIDENTIAL ONLY,24,0.197568763,0.52953887,7.501988622,2.680276273,4575.630597,1707.148857,33.42518471,-21.76641372,17.73628859,1.298615943,0.838715089,0.293410686,49.73052049,19.52168,2.063065312,36.63399365,5.950618755,16.63594221,702.7753538,1,1
85,619.725678,22687.82525,RESIDENTIAL ONLY,RESIDENTIAL ONLY,51,0.151336034,0.456250886,8.421495371,3.014819905,10351.34037,3433.485483,32.86943853,36.67085952,16.48265458,1.401799918,1.281710132,0.422035642,45.66265506,12.41326432,2.318856404,54.02334556,3.962414794,19.27000271,708.6416461,2,1
